objectid,filename,title,creator,date,description,subject,location,source,type,format,language,rights,rightsstatement,latitude,longitude
image3,image3.jpg,Alcazar,Anonymous,1364-1366,built by Pedro I of Castile,"Introduction to the Spanish Context, and the Pre-Renaissance","Seville, Spain",,Image;StillImage,image/jpeg,eng,,,37.3886303,-5.9953171
image4,image4.jpg,Pieta,"Gallego, Fernando (1468-1507)",1465,Tempura on Panel,"Introduction to the Spanish Context, and the Pre-Renaissance","Museo del Prado, Madrid, Spain",https://www.museodelprado.es/coleccion/obra-de-arte/la-piedad/3dde0001-e1c7-4595-a282-1e4dc9e40f35,Image;StillImage,image/jpeg,eng,Courtesy of the Museo del Prado,"The assignment of reproduction rights of the images of the Image Bank of the Museo Nacional del Prado is intended for Art History projects in which the academic/professor/student is personally responsible for paying the reproduction fees, and cannot contact disposition of trade organizations/publishers or for exhibition catalogues.",40.41390431,-3.692052
image10,image10.jpg,Peinador de la Reina,,1536,"Interior view, with fresco decorations by Giulio de Aquilis and Alejandro Mayner ; The Alhmabra is an elaborate and richly decorated Muslim fortress palace with formal pavilions",Circle And Square In The Alhambra: Charles V And The Arrival Of The Renaissance In Spain ,"Alhambra, Granada, Andalusia, Spain",https://malemalefica.tumblr.com/post/182955723397/the-peinador-de-la-reina-alhambra-granada,Image;StillImage,image/jpeg,eng,"""Peinador de la Reina"" by Malefica Mi Mundo",,37.1830197,-3.602192
image11,image11.jpg,Palace of Charles V,,1526,"Central Courtyard Space. The Palace of Charles V is a Renaissance building in Granada, southern Spain, located on the top of the hill of the Assabica, inside the Nasrid fortification of the Alhambra. ",Circle And Square In The Alhambra: Charles V And The Arrival Of The Renaissance In Spain ,"Alhambra, Granada, Andalusia, Spain",,Image;StillImage,image/jpeg,eng,,,37.1830197,-3.602192
image13,image13.jpg,Philip II,"Anguissola, Sofonisba (Female Italian Renaissance painter, 1532-1625)",1575,oil on canvas; 88 x 72 cm,Stripped Style: Philip II and the Construction of El Escorial ,"Museo del Prado, Madrid, Spain",,Image;StillImage,image/jpeg,eng,,,40.4167047,-3.7035825
image15,image15.jpg,View of El Escorial,"Juan Bautista de Toledo, Spanish, d.1567 ; Juan de Herrera, Spanish, ca. 1530-1597",1563-1584,Aerial view,Stripped Style: Philip II and the Construction of El Escorial ,Madrid,,Image;StillImage,image/jpeg,eng,,,40.4167047,-3.7035825
image16,image16.jpg,"High altar retablo in Basilica of St Lawrence, El Escorial",,1563-1584,The high altar paintings depict the major feasts of the Roman Catholic church and the life and passion of Christ around The Martyrdom of St Lawrence and the Assumption of the Virgin. Federico Zuccaro painted eight scenes c. 1586,Stripped Style: Philip II and the Construction of El Escorial ,Madrid,,Image;StillImage,image/jpeg,eng,,,40.4167047,-3.7035825
image17,image17.jpg,The Burial of Count Orgaz,"El Greco (Greek painter, 1541-1614)",1586-1588,Oil on canvas. Patron: Andres Nunez de Madrid. Count Orgaz was an original patron of this church in the 1300s.,"The ""Brilliant Madness"" of El Greco ","Church of Santo Tome, Toledo","Artstor; Image and original data provided by SCALA, Florence/ART RESOURCE, N.Y.",Image;StillImage,image/jpeg,eng,"(c) 2006, SCALA, Florence/ART RESOURCE, N.Y.",https://about.jstor.org/terms/,39.85689676,-4.028322118
image14,image14.jpg,Laocoon,"El Greco (Greek painter, 1541-1614)",1614,Oil on canvas. Overall: 137.5 x 172.5 cm (54 1/8 x 67 15/16 in.); framed: 176.5 x 212.7 cm (69 1/2 x 83 3/4 in.).,"The ""Brilliant Madness"" of El Greco ","National Gallery of Art, Washington, DC","Artstor; Image: Courtesy of National Gallery of Art, Washington",Image;StillImage,image/jpeg,eng,"Contact information: NGA Images, National Gallery of Art, 4th Street and Constitution Avenue, NW Washington DC 20565,ÃŠngaimages@nga.gov",https://about.jstor.org/terms/,38.89143993,-77.02000792
image18,image18.jpg,Christ of Clemency,"Martinez Monta–Žs, Juan; Pacheco, Francisco",1603-1606,Polychromed wood,The Sacred Made Real and Displays of Religious Affect During the Reigns Of Philip III And Philip IV ,Seville Cathedral,,Image;StillImage,image/jpeg,eng,,,37.3886303,-5.9953171
